id,material,regular_price,agreed_price,customer,price,promo_discount,discount,change_percentage,change_value,date,status,category,sub_cat,sub_cat_series,YearMonth
140490,BG1024/16,142.14,125.28,Nahdi,99.95,0.11864249401998,0.296820036583649,0.178177542563669,-25.33,2026-01-02,Lower,MG,BodyGroom,BodyGroom BG1000S,2026-01
140491,BG1024/16,142.14,125.28,Extra,94.0,0.11864249401998,0.338680174475868,0.220037680455888,-31.28,2026-01-02,Lower,MG,BodyGroom,BodyGroom BG1000S,2026-01
140492,BG1024/16,142.14,125.28,Saco,125.0,0.11864249401998,0.120585338398761,0.00194284437878153,-0.28,2026-01-02,Match,MG,BodyGroom,BodyGroom BG1000S,2026-01
140494,BG1024/16,142.14,125.28,Lulu,142.0,0.11864249401998,0.000984944420993291,-0.117657549598986,16.72,2026-01-02,Higher,MG,BodyGroom,BodyGroom BG1000S,2026-01
114414,BG1024/16,142.14,125.28,Nahdi,110.95,0.1186,0.2194,0.1008,-14.33,2025-12-14,Lower,MG,BodyGroom,BodyGroom BG1000S,2025-12
114415,BG1024/16,142.14,125.28,Extra,125.0,0.1186,0.1206,0.0019,-0.28,2025-12-14,Match,MG,BodyGroom,BodyGroom BG1000S,2025-12
114417,BG1024/16,142.14,125.28,Lulu,142.0,0.1186,0.001,-0.1177,16.72,2025-12-14,Higher,MG,BodyGroom,BodyGroom BG1000S,2025-12
114419,BG3017/01,230.66,201.12,Noon,159.9,0.1281,0.3068,0.1787,-41.22,2025-12-14,Lower,MG,BodyGroom,BodyGroom BG3000S,2025-12
114420,BG1024/16,142.14,125.28,Noon,94.0,0.1186,0.3387,0.22,-31.28,2025-12-14,Lower,MG,BodyGroom,BodyGroom BG1000S,2025-12
114421,BG3017/01,230.66,201.12,Lulu,150.0,0.1281,0.3497,0.2216,-51.12,2025-12-14,Lower,MG,BodyGroom,BodyGroom BG3000S,2025-12
114422,BG3017/01,230.66,201.12,Extra,136.0,0.1281,0.4104,0.2823,-65.12,2025-12-14,Lower,MG,BodyGroom,BodyGroom BG3000S,2025-12
114423,BG3017/01,230.66,201.12,Nahdi,143.06,0.1281,0.3798,0.2517,-58.06,2025-12-14,Lower,MG,BodyGroom,BodyGroom BG3000S,2025-12
114424,BG3017/01,230.66,201.12,Saco,219.0,0.1281,0.0505,-0.0775,17.88,2025-12-14,Higher,MG,BodyGroom,BodyGroom BG3000S,2025-12
114427,BG5021/15,331.76,316.82,Nahdi,257.17,0.045,0.2248,0.1798,-59.65,2025-12-14,Lower,MG,BodyGroom,BodyGroom BG5000S,2025-12
114428,BG3017/01,230.66,201.12,Dawa,179.24,0.1281,0.2229,0.0949,-21.88,2025-12-14,Lower,MG,BodyGroom,BodyGroom BG3000S,2025-12
114430,BG5021/15,331.76,316.82,Extra,199.0,0.045,0.4002,0.3551,-117.82,2025-12-14,Lower,MG,BodyGroom,BodyGroom BG5000S,2025-12
114431,BG5021/15,331.76,316.82,Noon,170.0,0.045,0.4876,0.4426,-146.82,2025-12-14,Lower,MG,BodyGroom,BodyGroom BG5000S,2025-12
114432,BG5021/15,331.76,316.82,Lulu,199.0,0.045,0.4002,0.3551,-117.82,2025-12-14,Lower,MG,BodyGroom,BodyGroom BG5000S,2025-12
114433,BG5021/15,331.76,316.82,Saco,319.0,0.045,0.0385,-0.0066,2.18,2025-12-14,Higher,MG,BodyGroom,BodyGroom BG5000S,2025-12
114434,BG1024/16,142.14,125.28,Saco,145.0,0.1186,-0.0201,-0.1388,19.72,2025-12-14,Higher,MG,BodyGroom,BodyGroom BG1000S,2025-12
114435,BHA305/03,240.45,220.9,Amazon,181.83,0.0813,0.2438,0.1625,-39.07,2025-12-14,Lower,BTY,AirStyler,AirStyler BHA300S,2025-12
114436,BG7025/13,481.52,408.2,Lulu,313.0,0.1523,0.35,0.1977,-95.2,2025-12-14,Lower,MG,BodyGroom,BodyGroom BG7000S,2025-12
114437,BG7025/13,481.52,408.2,Nahdi,359.96,0.1523,0.2525,0.1002,-48.24,2025-12-14,Lower,MG,BodyGroom,BodyGroom BG7000S,2025-12
114438,BG7025/13,481.52,408.2,Noon,264.0,0.1523,0.4517,0.2995,-144.2,2025-12-14,Lower,MG,BodyGroom,BodyGroom BG7000S,2025-12
114439,BG7025/13,481.52,408.2,Extra,294.0,0.1523,0.3894,0.2372,-114.2,2025-12-14,Lower,MG,BodyGroom,BodyGroom BG7000S,2025-12
